time,speed
1451,0.00287
1452,0.00171
1453,0.00055
1454,0.00229
1455,0.002295
1456,0.00062
1457,0.000035
1458,0.00055
1459,0.000615
1460,0.00113
1461,0.00055
1462,0.000035
1463,0.00171
1464,0.000545
1465,0.00113
1466,0.000545
1467,0.00055
1468,0.001125
1469,0.000615
1470,0.00113
1471,0.001125
1472,0.000035
1473,0.000545
1474,0.00055
1475,0.00171
1476,0.00229
1477,0.00113
1478,0.00229
1479,0.002295
1480,0.001125
1481,0.000035
1482,0.00171
1483,0.00171
1484,0.00113
1485,0.00113
1486,0.000035
1487,0.000545
1488,0.00171
1489,0.000545
1490,0.000545
1491,0.00055
1492,0.000545
1493,0.00113
1494,0.00113
1495,0.0012
1496,0.0012
1497,0.000035
1498,0.00113
1499,0.00055
1500,0.001125
1501,0.002875
1502,0.00229
1503,0.00113
1504,0.00229
1505,0.00113
1506,0.00229
1507,0.00171
1508,0.00113
1509,0.00171
1510,0.00171
1511,0.000615
1512,0.00229
1513,0.000545
1514,0.00229
1515,0.00055
1516,0.00171
1517,0.00171
1518,0.002875
1519,0.000615
1520,0.000035
1521,0.000035
1522,0.00113
1523,0.00055
1524,0.00062
1525,0.00171
1526,0.000615
1527,0.00113
1528,0.00171
1529,0.00229
1530,0.00229
1531,0.00113
1532,0.002295
1533,0.00229
1534,0.000035
1535,0.00055
1536,0.003455
1537,0.000035
1538,0.00229
1539,0.00113
1540,0.000545
1541,0.000035
1542,0.002295
1543,0.00055
1544,0.00055
1545,0.00171
1546,0.00171
1547,0.00055
1548,0.00171
1549,0.000035
1550,0.000615
1551,0.000035
1552,0.00171
1553,0.00171
1554,0.00229
1555,0.000035
1556,0.00055
1557,0.00229
1558,0.000545
1559,0.00055
1560,0.002875
1561,0.000615
1562,0.000545
1563,0.000035
1564,0.001125
1565,0.00171
1566,0.000035
1567,0.00171
1568,0.00113
1569,0.000035
1570,0.000545
1571,0.00055
1572,0.003455
1573,0.00113
1574,0.00229
1575,0.000035
1576,0.000545
1577,0.000035
1578,0.00229
1579,0.000615
1580,0.000035
1581,0.00113
1582,0.001125
1583,0.002875
1584,0.00171
1585,0.002295
1586,0.0012
1587,0.000035
1588,0.00171
1589,0.00171
1590,0.00062
1591,0.00229
1592,0.00171
1593,0.0012
1594,0.00178
1595,0.000615
1596,0.00171
1597,0.00113
1598,0.00171
1599,0.000035
1600,0.000545
1601,0.000035
1602,0.001125
1603,0.00113
1604,0.0012
1605,0.00055
1606,0.00062
1607,0.003455
1608,0.00113
1609,0.00171
1610,0.0012
1611,0.00229
1612,0.00171
1613,0.00113
1614,0.000545
1615,0.00171
1616,0.00113
1617,0.000035
1618,0.00113
1619,0.000035
1620,0.00113
1621,0.000035
1622,0.000035
1623,0.000545
1624,0.00171
1625,0.00113
1626,0.00062
1627,0.00171
1628,0.000615
1629,0.00113
1630,0.00062
1631,0.00171
1632,0.000035
1633,0.000545
1634,0.00062
1635,0.000545
1636,0.00171
1637,0.000035
1638,0.000545
1639,0.000545
1640,0.00055
1641,0.00113
1642,0.002875
1643,0.00229
1644,0.00113
1645,0.001125
1646,0.000035
1647,0.00229
1648,0.00113
1649,0.00171
1650,0.0012
1651,0.00229
1652,0.002295
1653,0.00171
1654,0.000035
1655,0.00171
1656,0.000035
1657,0.00171
1658,0.00062
1659,0.0012
1660,0.00171
1661,0.000545
1662,0.001125
1663,0.000035
1664,0.00171
1665,0.00171
1666,0.000545
1667,0.00229
1668,0.00055
1669,0.00229
1670,0.00055
1671,0.00171
1672,0.00113
1673,0.00113
1674,0.000035
1675,0.00171
1676,0.002875
1677,0.000545
1678,0.000035
1679,0.00113
1680,0.000615
1681,0.00113
